iteration	notebook_path	dataset_path	label_index	model	score
90	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9607079171100695
90	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.8153742483272113
90	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.866647623050759
90	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9984902396221456
90	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.5118219636631847
90	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.863843491186137
90	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.9633702257080722
90	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.9198662110077999
90	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9488589638788967
90	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9696255407574413
90	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.855948488467633
90	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9769021954849825
90	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.8990685212566211
90	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8011590402308759
90	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.9365193847004032
100	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.757792847683323
100	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.8061926805714895
100	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.9280809370911877
100	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9858749565529265
100	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.9726102487485395
100	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.7773136939622732
100	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9906459056316882
100	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.5118219636631847
100	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.8146363156774954
100	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.95980877090821
100	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.8994428218823658
100	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.957601169589929
100	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9696255407574413
100	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8499206072101154
100	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9820303262342949
100	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.920735931189595
100	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8580880413934088
100	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.9365193847004032
110	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.7572978278062074
110	google	data/diffprep_dataset/google/data.csv	8	LogisticRegression	0.7816601111410164
110	jungle_chess_2pcs_raw_endgame_complete	data/diffprep_dataset/jungle_chess_2pcs_raw_endgame_complete/data.csv	6	LogisticRegression	0.9280809370911877
110	Run_or_walk_information	data/diffprep_dataset/Run_or_walk_information/data.csv	6	LogisticRegression	0.9762676599446015
110	wall-robot-navigation	data/diffprep_dataset/wall-robot-navigation/data.csv	24	LogisticRegression	0.9626733229605601
110	avila	data/diffprep_dataset/avila/data.csv	10	LogisticRegression	0.872845420412363
110	shuttle	data/diffprep_dataset/shuttle/data.csv	9	LogisticRegression	0.9998706812935084
110	abalone	data/diffprep_dataset/abalone/data.csv	8	LogisticRegression	0.5118219636631847
110	connect-4	data/diffprep_dataset/connect-4/data.csv	42	LogisticRegression	0.8146363156774954
110	house_prices	data/diffprep_dataset/house_prices/data.csv	80	LogisticRegression	0.95980877090821
110	USCensus	data/diffprep_dataset/USCensus/data.csv	14	LogisticRegression	0.9201165488028843
110	pol	data/diffprep_dataset/pol/data.csv	48	LogisticRegression	0.9877584050093761
110	mozilla4	data/diffprep_dataset/mozilla4/data.csv	5	LogisticRegression	0.9658031953551667
110	pbcseq	data/diffprep_dataset/pbcseq/data.csv	18	LogisticRegression	0.8678786594963921
110	page-blocks	data/diffprep_dataset/page-blocks/data.csv	10	LogisticRegression	0.9815652396222593
110	ada_prior	data/diffprep_dataset/ada_prior/data.csv	14	LogisticRegression	0.9008940429763744
110	eeg	data/diffprep_dataset/eeg/data.csv	14	LogisticRegression	0.8013673228394204
110	obesity	data/diffprep_dataset/obesity/data.csv	16	LogisticRegression	0.8643176020755815
120	microaggregation2	data/diffprep_dataset/microaggregation2/data.csv	20	LogisticRegression	0.7932527970325727
